time,V_n,W_n
8.789,7.793922901,153.0293884
8.789,7.794923306,153.0490875
8.79,7.794923306,153.0490875
8.79,7.79592371,153.0687561
8.791,7.79592371,153.0687561
8.791,7.796924114,153.0884247
8.792,7.796924114,153.0884247
8.792,7.797924519,153.1081085
8.793,7.797924519,153.1081085
8.793,7.798924923,153.1277771
8.794,7.798924923,153.1277771
8.794,7.799925327,153.1474609
8.795,7.799925327,153.1474609
8.795,7.800925732,153.16716
8.796,7.800925732,153.16716
8.796,7.801926136,153.1868439
8.797,7.801926136,153.1868439
8.797,7.80292654,153.2065125
8.798,7.80292654,153.2065125
8.798,7.803926945,153.2261963
8.799,7.803926945,153.2261963
8.799,7.804927349,153.2458801
8.8,7.804927349,153.2458801
8.8,7.805927753,153.2655792
8.801,7.805927753,153.2655792
8.801,7.806928158,153.2852783
8.802,7.806928158,153.2852783
8.802,7.807928562,153.3049774
8.803,7.807928562,153.3049774
8.803,7.808928967,153.3246765
8.804,7.808928967,153.3246765
8.804,7.809929371,153.3443604
8.805,7.809929371,153.3443604
8.805,7.810929775,153.3640594
8.806,7.810929775,153.3640594
8.806,7.81193018,153.3837433
8.807,7.81193018,153.3837433
8.807,7.812930584,153.4034119
8.808,7.812930584,153.4034119
8.808,7.813930988,153.4230957
8.809,7.813930988,153.4230957
8.809,7.814931393,153.4427795
8.81,7.814931393,153.4427795
8.81,7.815931797,153.4624786
8.811,7.815931797,153.4624786
8.811,7.816932201,153.4821472
8.812,7.816932201,153.4821472
8.812,7.817932606,153.5018311
8.813,7.817932606,153.5018311
8.813,7.81893301,153.5214996
8.814,7.81893301,153.5214996
8.814,7.819933414,153.5411682
8.815,7.819933414,153.5411682
8.815,7.820933819,153.5608521
8.816,7.820933819,153.5608521
8.816,7.821934223,153.5805359
8.817,7.821934223,153.5805359
8.817,7.822934628,153.600235
8.818,7.822934628,153.600235
8.818,7.823935032,153.6199188
8.819,7.823935032,153.6199188
8.819,7.824935436,153.6396027
8.82,7.824935436,153.6396027
8.82,7.825935841,153.6592712
8.821,7.825935841,153.6592712
8.821,7.826936245,153.6789703
8.822,7.826936245,153.6789703
8.822,7.827936649,153.6986542
8.823,7.827936649,153.6986542
8.823,7.828937054,153.718338
8.824,7.828937054,153.718338
8.824,7.829937458,153.7380371
8.825,7.829937458,153.7380371
8.825,7.830937862,153.7577209
8.826,7.830937862,153.7577209
8.826,7.831938267,153.7774048
8.827,7.831938267,153.7774048
8.827,7.832938671,153.7970581
8.828,7.832938671,153.7970581
8.828,7.833939075,153.8167419
8.829,7.833939075,153.8167419
8.829,7.83493948,153.8364105
8.83,7.83493948,153.8364105
8.83,7.835939884,153.8560791
8.831,7.835939884,153.8560791
8.831,7.836940289,153.8757629
8.832,7.836940289,153.8757629
8.832,7.837940693,153.8954468
8.833,7.837940693,153.8954468
8.833,7.838941097,153.9151459
8.834,7.838941097,153.9151459
8.834,7.839941502,153.9348297
8.835,7.839941502,153.9348297
8.835,7.840941906,153.9545135
8.836,7.840941906,153.9545135
8.836,7.84194231,153.9741974
8.837,7.84194231,153.9741974
8.837,7.842942715,153.9938812
8.838,7.842942715,153.9938812
8.838,7.843943119,154.0135651
8.839,7.843943119,154.0135651
8.839,7.844943523,154.0332336
8.84,7.844943523,154.0332336
8.84,7.845943928,154.0529175
8.841,7.845943928,154.0529175
8.841,7.846944332,154.0725861
8.842,7.846944332,154.0725861
8.842,7.847944736,154.0922699
8.843,7.847944736,154.0922699
8.843,7.848945141,154.1119537
8.844,7.848945141,154.1119537
8.844,7.849945545,154.1316528
8.845,7.849945545,154.1316528
8.845,7.85094595,154.1513367
8.846,7.85094595,154.1513367
8.846,7.851946354,154.1710358
8.847,7.851946354,154.1710358
8.847,7.852946758,154.1907349
8.848,7.852946758,154.1907349
8.848,7.853947163,154.2104034
8.849,7.853947163,154.2104034
8.849,7.854947567,154.2300873
8.85,7.854947567,154.2300873
8.85,7.855947971,154.2497559
